12, 1, Achro 12: Remove old top magnet halves
06, 1, Achro 06: Remove old top magnet halves
08, 1, Achro 08: Remove old top magnet halves
09, 1, Achro 09: Remove old top magnet halves
12, 1, Achro 12: Install local supports for vac chambers (U1-U5)
08, 1, Achro 08: Install local supports for vac chambers (U1-U5)
03, 1, Achro 03: Remove old bottom magnet blocks
14, 1, Achro 14: Remove old bottom magnet blocks
14, 1, Achro 14: Remove old bottom magnet blocks
17, 1, Achro 17: Remove old bottom magnet blocks
17, 1, Achro 17: Remove old bottom magnet blocks
11, 1, Achro 11: Remove old bottom magnet blocks
11, 1, Achro 11: Remove old bottom magnet blocks
06, 1, Achro 06: Mount new bottom-blocks (in the lowered position)
06, 1, Achro 06: Mount new bottom-blocks (in the lowered position)
12, 1, Achro 12: Raise lower magnet blocks while bending VC
12, 1, Achro 12: Raise lower magnet blocks while bending VC
06, 1, Achro 06: Raise lower magnet blocks while bending VC
06, 1, Achro 06: Raise lower magnet blocks while bending VC
16, 1, Achro 16: Raise lower magnet blocks while bending VC
16, 1, Achro 16: Raise lower magnet blocks while bending VC
03, 1, Achro 03: Preloading lower magnet halves
18, 1, Achro 18: Raise lower magnet blocks while bending VC
18, 1, Achro 18: Raise lower magnet blocks while bending VC
17, 1, Achro 17: Preloading lower magnet halves
10, 1, Achro 10: Preloading lower magnet halves
10, 1, Achro 10: WAITING
10, 1, Achro 10: WAITING
12, 1, Achro 12: Close magnet blocks
12, 1, Achro 12: Close magnet blocks
15, 1, Achro 15: Close magnet blocks
15, 1, Achro 15: Close magnet blocks
09, 1, Achro 09: Close magnet blocks
09, 1, Achro 09: Close magnet blocks
11, 1, Achro 11: Close magnet blocks
11, 1, Achro 11: Close magnet blocks
15, 1, Achro 15: Measure/correct block shapes
18, 1, Achro 18: Measure/correct block shapes
18, 1, Achro 18: WAITING
